13	5	+2
14	5	+1
213	37	+2
214	37	+1
225	43	+2
226	43	+1
207	35	+2
208	35	+1
145	75	+2
146	75	+1
73	23	+2
74	23	+1
117	46	+2
118	46	+1
81	26	+2
82	26	+1
61	73	+2
62	73	+1
93	29	+2
94	29	+1
7	3	+1
8	3	+2
89	28	+2
90	28	+1
9	4	+2
10	4	+1
71	22	+2
72	22	+1
69	61	+1
70	61	+2
139	62	+2
140	62	+1
141	90	+2
142	90	+1
143	95	+2
144	95	+1
59	32	+2
60	32	+1
201	33	+2
202	33	+1
147	50	+1
148	50	+2
79	25	+1
80	25	+2
125	48	+2
126	48	+1
189	88	+2
190	88	+1
127	58	+2
128	58	+1
203	34	+2
204	34	+1
115	96	+2
116	96	+1
131	83	+2
132	83	+1
219	40	+2
220	40	+1
221	41	+2
222	41	+1
223	42	+2
224	42	+1
41	14	+1
42	14	+2
5	69	+2
6	69	+1
23	7	+2
24	7	+1
111	81	+2
112	81	+1
109	74	+2
110	74	+1
85	27	+2
86	27	+1
133	70	+2
134	70	+1
135	53	+2
136	53	+1
123	78	+2
124	78	+1
107	65	+2
108	65	+1
229	45	+2
230	45	+1
227	44	+2
228	44	+1
105	30	+2
106	30	+1
113	56	+2
114	56	+1
215	38	+2
216	38	+1
211	36	+2
212	36	+1
